"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"A Promised Land","Barack Obama",45,1,"History","Nov",2020,0.199729437229437,0.466558441558442
"The Cold Millions","Jess Walter",28.99,2,"Fiction","Oct",2020,0.202203213453213,0.639696263881047
"Caste (Oprah's Book Club)","Isabel Wilkerson",28.8,3,"History","Aug",2020,0.181602758738175,0.431805730920314
"The Deep End (Diary of a Wimpy Kid Book 15)","Jeff Kinney",13.49,4,"Juvenile Fiction","Oct",2020,0.188392857142857,0.349553571428571
"Rhythm of War","Brandon Sanderson",34.99,5,"Fiction","Nov",2020,0.254037906537907,0.486131646131646
"The Best of Me","David Sedaris",27,6,"Family & Relationships","Nov",2020,0.180958586867678,0.321420189658826
"The Vanishing Half","Brit Bennett",24.3,7,"Fiction","Jun",2020,0.210548707979264,0.536682351672431
"Braiding Sweetgrass","Robin Wall Kimmerer",18,8,"Social Science","Aug",2015,0.120727558604917,0.412339636254731
"Untamed","Glennon Doyle",28,10,"Self-Help","Mar",2020,0.155625,0.43875
"Anxious People","Fredrik Backman",28,11,"Fiction","Sep",2020,0,0
"The Searcher","Tana French",27,13,"Fiction","Oct",2020,-0.0466459263481207,0.44683938202747
"The Truths We Hold","Kamala Harris",18,14,"Political Science","Aug",2020,0,0
"Dog Man","Dav Pilkey",12.99,15,"Juvenile Fiction","Sep",2020,0.188035714285714,0.728928571428571
"How to Be an Antiracist","Ibram X Kendi",27,16,"Social Science","Aug",2019,0.143680040197897,0.324276437847866
"Transcendent Kingdom","Yaa Gyasi",25.16,17,"Fiction","Sep",2020,0.17038465007215,0.448279414038343
"Devotions","Mary Oliver",20,19,"Poetry","Nov",2020,0.143915343915344,0.454232804232804
"Unlocked Book 8.5","Shannon Messenger",21.99,20,"Juvenile Fiction","Nov",2020,0,0
"Memorial","Bryan Washington",27,24,"Fiction","Oct",2020,0.242488035743718,0.569219714839033
"The Overstory","Richard Powers",18.95,25,"Fiction","Apr",2019,0.255805849851902,0.39641290726817
"One Life","Megan Rapinoe",27,26,"Biography & Autobiography","Nov",2020,0.14770088450644,0.367322196836086
"Circe","Madeline Miller",16.99,28,"Fiction","Apr",2020,0.106905621306132,0.283896995861282
"Mexican Gothic","Silvia Moreno-Garcia",27,29,"Fiction","Jun",2020,0.136771914152867,0.526536682012873
"Leave the World Behind","Rumaan Alam",25.19,30,"Fiction","Oct",2020,0.0938977738401758,0.610515989139764
"Dessert Person","Claire Saffitz",31.5,31,"Cooking","Oct",2020,0.296018518518519,0.425432098765432
"Modern Comfort Food","Ina Garten",35,32,"Cooking","Oct",2020,0,0
"Our Time Is Now","Stacey Abrams",27.99,33,"Social Science","Jun",2020,0.165047339282033,0.403147988632682
"My Own Words","Ruth Bader Ginsburg",18,34,"Political Science","Aug",2018,0,0
"Solutions and Other Problems","Allie Brosh",30,35,"Biography & Autobiography","Sep",2020,0.0891534391534392,0.263957360722067
"Antiracist Baby Board Book","Ibram X Kendi",8.99,36,"Juvenile Fiction","Jun",2020,0,0
"Class Act","Jerry Craft",12.99,37,"Juvenile Fiction","Oct",2020,0.159156413761677,0.479821713374345
"The Water Dancer","Ta-Nehisi Coates",18,39,"Fiction","Nov",2020,0.207124925727867,0.40177807486631
"Interior Chinatown","Charles Yu",16,40,"Fiction","Nov",2020,0.13413535868893,0.500331632653061
"The Color of Law","Richard Rothstein",17.95,42,"Political Science","May",2018,0.202422302024575,0.485944236739691
"Parable of the Sower","Octavia E Butler",16.99,43,"Fiction","Apr",2019,0.137444472194472,0.334334278968894
"The Warmth of Other Suns","Isabel Wilkerson",17.95,44,"Social Science","Oct",2011,0.193482417291603,0.5046725253212
"The Snowy Day Board Book","Ezra Jack Keats",7.19,45,"Juvenile Fiction","Jan",1996,0,0
"Dolly Parton, Songteller","Dolly Parton",50,46,"Performing Arts","Nov",2020,0,0
"The Boy, the Mole, the Fox and the Horse","Charlie Mackesy",22.99,47,"Self-Help","Oct",2019,0.289280818387961,0.51374123891981
"So You Want to Talk About Race","Ijeoma Oluo",16.99,48,"Social Science","Sep",2019,0.0801318520300002,0.300814939518643
"Moonflower Murders","Anthony Horowitz",28.99,51,"Fiction","Nov",2020,0.368164983164983,0.357895622895623
"Piranesi","Susanna Clarke",27,52,"Fiction","Sep",2020,0.240994731278822,0.567413987527624
"Logan Likes Mary Anne! (The Baby-Sitters Club Graphic Novel #8)","Ann M Martin",12.99,53,"Juvenile Fiction","Sep",2020,0.317376893939394,0.684510281385281
"Becoming","Michelle Obama",32.5,54,"Biography & Autobiography","Nov",2018,0.174074847742127,0.428875922212319
"The 99% Invisible City","Roman Mars",30,55,"Architecture","Oct",2020,0.176218906754621,0.478085918710919
"A Time for Mercy","John Grisham",29.95,56,"Fiction","Oct",2020,0.141305916305916,0.347871572871573
"The Splendid and the Vile","Erik Larson",32,57,"Biography & Autobiography","Feb",2020,0.267018974396162,0.516093719317887
"The Answer Is . . .","Alex Trebek",26,61,"Self-Help","Jul",2020,0.115925632133018,0.430707870097075
"HRH","Elizabeth Holmes",35,63,"Photography","Nov",2020,0.153603603603604,0.263063063063063
"The Lying Life of Adults","Elena Ferrante",26,64,"Fiction","Sep",2020,0.182832483346182,0.499449583901639
"A Deadly Education","Naomi Novik",28,65,"Fiction","Sep",2020,0.322076177954277,0.620320829308433
"Stamped","Jason Reynolds",18.99,66,"Young Adult Nonfiction","Mar",2020,0.170853741496599,0.413858688930118
"Intimations","Zadie Smith",10.95,67,"Biography & Autobiography","Jul",2020,0.190812681242369,0.501038628777344
"The Purpose of Power","Alicia Garza",27,69,"Political Science","Oct",2020,0.126581088664422,0.452024410774411
"I Want to Be Where the Normal People Are","Rachel Bloom",28,70,"Biography & Autobiography","Nov",2020,0.044802356343054,0.288159837578442
"Shit, Actually","Lindy West",27,71,"Social Science","Oct",2020,0.0831563956058906,0.206798909408337
"Braiding Sweetgrass","Robin Wall Kimmerer",35,74,"Social Science","Oct",2020,0.120727558604917,0.412339636254731
"Girl, Woman, Other","Bernardine Evaristo",17,75,"Fiction","Nov",2019,0.255909849630088,0.519144215205723
"Dearly","Margaret Atwood",27.99,76,"Poetry","Nov",2020,0.359243943191312,0.508724589250905
"Between the World and Me","Ta-Nehisi Coates",26,77,"Social Science","Jul",2015,0.158813614682517,0.547184958785568
"Ottolenghi Flavor","Yotam Ottolenghi",35,78,"Cooking","Oct",2020,0,0
"Is This Anything?","Jerry Seinfeld",35,80,"Humor","Oct",2020,0.105628311930833,0.240268531655086
"We Keep the Dead Close","Becky Cooper",26.1,83,"Social Science","Nov",2020,0.103359803391053,0.360722823472823
"What We'll Build","Oliver Jeffers",17.99,84,"Juvenile Fiction","Oct",2020,0.116666666666667,0.583333333333333
"The Nickel Boys","Colson Whitehead",15.95,85,"Fiction","Jun",2020,0.198764497655123,0.483015008718134
"Kamala and Maya's Big Idea","Meena Harris",17.09,86,"Juvenile Fiction","Jun",2020,0.166305555555556,0.427920634920635
"Wintering","Katherine May",24,87,"Self-Help","Nov",2020,0.366847267316017,0.575980291638186
"The Dead Are Arising","Les Payne",35,90,"History","Oct",2020,0.144834473117185,0.460577653926584
"Uncomfortable Conversations with a Black Man","Emmanuel Acho",27.99,91,"Social Science","Nov",2020,0.0934090909090909,0.530113636363636
"The Best American Short Stories 2020","Curtis Sittenfeld",16.99,92,"Fiction","Nov",2020,0.55,0.679166666666667
"Jack","Marilynne Robinson",27,93,"Fiction","Sep",2020,0.118552439623868,0.338014753104039
"The One and Only Bob","Katherine Applegate",18.99,94,"Juvenile Fiction","May",2020,0.271175390266299,0.578872053872054
"Sapiens","Yuval Noah Harari",24.99,95,"History","May",2018,0.229721827651515,0.486754223785474
"The New Jim Crow","Michelle Alexander",18.99,96,"Social Science","Jan",2020,0.125700371057514,0.514680800350443
"The Evening and the Morning","Ken Follett",36,97,"Fiction","Sep",2020,0.133052248677249,0.498015873015873
"The Fifth Season","N K Jemisin",15.99,98,"Fiction","Aug",2015,0.179069264069264,0.378083487940631
"The City We Became","N K Jemisin",28,99,"Fiction","Mar",2020,0.171077659714023,0.356345926800472
"My Grandmother's Hands","Resmaa Menakem",17.95,100,"Social Science","Sep",2017,0,0
"Normal People","Sally Rooney",17,101,"Fiction","Feb",2020,0.195034862991212,0.464023540392588
"The Office of Historical Corrections","Danielle Evans",27,102,"Fiction","Nov",2020,0.222740873990874,0.452929049179049
"Me and White Supremacy","Layla F Saad",25.99,103,"Self-Help","Jan",2020,0.119324965493444,0.381002650730912
"Luster","Raven Leilani",26,104,"Fiction","Aug",2020,0.189171810716166,0.549231071795588
"Breath","James Nestor",28,105,"Sports & Recreation","May",2020,0.184220743692335,0.459663779622654
"The Couch Potato","Jory John",18.99,106,"Juvenile Fiction","Nov",2020,0.0776190476190476,0.229206349206349
"Burnout","Emily Nagoski",17,107,"Social Science","Jan",2020,0.160690235690236,0.407239057239057
"The Bad Guys in The One?! (The Bad Guys #12)","Aaron Blabey",6.99,108,"Juvenile Fiction","Nov",2020,-0.172222222222222,0.483333333333333
"Olive, Again","Elizabeth Strout",18,109,"Fiction","Nov",2020,0.168935950413223,0.388470844811754
"Salt, Fat, Acid, Heat","Samin Nosrat",37.5,110,"Cooking","Apr",2017,0.322942728411309,0.551395168371291
"Vesper Flights","Helen MacDonald",27,111,"Literary Collections","Aug",2020,0,0
"Such a Fun Age","Kiley Reid",26,113,"Fiction","Dec",2019,0.169436650893746,0.482324674057361
"Dune","Frank Herbert",18,114,"Fiction","Aug",2005,0.175710227272727,0.42979797979798
"Superheroes Are Everywhere","Kamala Harris",17.99,115,"Juvenile Nonfiction","Jan",2019,0,0.1
"The Archer","Paulo Coelho",21,116,"Fiction","Nov",2020,0,0.333333333333333
"You Matter","Christian Robinson",17.99,117,"Juvenile Fiction","Jun",2020,0.130414261664262,0.558459295334295
"The Silence","Don DeLillo",22,118,"Fiction","Oct",2020,0.16121345142652,0.512657039929767
"When No One Is Watching","Alyssa Cole",16.99,119,"Fiction","Sep",2020,0.14937164850675,0.498732240137964
"When Stars Are Scattered","Victoria Jamieson",12.99,120,"Juvenile Fiction","Apr",2020,0.186994949494949,0.442424242424242
"Eat a Peach","David Chang",28,121,"Cooking","Sep",2020,0.180755849089182,0.57715638858496
"The Princess in Black","Shannon Hale",6.99,122,"Juvenile Fiction","Apr",2015,0.173224718913546,0.379476287711934
"All About Love","bell hooks",15.99,123,"Social Science","Jan",2018,0,0
"Humans","Brandon Stanton",35,124,"Travel","Oct",2020,0.242484504132231,0.485080922865014
"The Yellow House","Sarah M Broom",17,126,"History","Jun",2020,0.124345341689092,0.425406309312559
"The Topeka School","Ben Lerner",17,130,"Fiction","Sep",2020,0.199126539724366,0.505963347240521
"A Gentleman in Moscow","Amor Towles",17,131,"Fiction","Mar",2019,0.310483885299156,0.577950428516931
"I Am Every Good Thing","Derrick Barnes",17.99,132,"Juvenile Fiction","Sep",2020,0.133280715775453,0.487402626082052
"All the Devils Are Here","Louise Penny",28.99,133,"Fiction","Sep",2020,0.127573653198653,0.370411405723906
"There There","Tommy Orange",16,135,"Fiction","May",2019,0.236182162487718,0.507228761978762
"Kamala Harris","Nikki Grimes",17.99,136,"Juvenile Nonfiction","Aug",2020,0.145697278911565,0.399914965986395
"Rowley Jefferson's Awesome Friendly Adventure","Jeff Kinney",14.99,138,"Juvenile Fiction","Aug",2020,0.5,0.5
"Twins","Varian Johnson",12.99,139,"Juvenile Fiction","Oct",2020,0.146862617774383,0.274667175961294
"An Indigenous Peoples' History of the United States","Roxanne Dunbar-Ortiz",16,140,"Social Science","Aug",2015,0.116012533342079,0.32704865210547
"Hamnet","Maggie O'Farrell",26.95,142,"Literary Criticism","Jul",2020,0.111161000795741,0.455141059364585
"Conversations with RBG","Jeffrey Rosen",18,143,"Social Science","Nov",2020,0.279970862470863,0.458549598549599
"New Kid","Jerry Craft",12.99,144,"Juvenile Fiction","Feb",2019,0.17607674963925,0.511210858585859
"The Guest List","Lucy Foley",27.99,146,"Fiction","Jun",2020,0.198259832977846,0.555905027912604
"Sulwe","Lupita Nyong'o",17.99,148,"Juvenile Fiction","Oct",2019,0.244151785714286,0.574047619047619
"The Book of Two Ways","Jodi Picoult",28.99,150,"Fiction","Sep",2020,0.268288840788841,0.42925645342312
"Magic Lessons","Alice Hoffman",27.99,151,"Fiction","Oct",2020,0.286437251984127,0.644502314814815
"The Wild Robot","Peter Brown",8.99,152,"Juvenile Fiction","Apr",2020,0.140347394151742,0.306796786144612
"His Truth Is Marching On","Jon Meacham",30,153,"History","Aug",2020,0.310221419736726,0.641803825426274
"The Memory Police","Yoko Ogawa",16,155,"Fiction","Jul",2020,0.132521334029955,0.498907175200279
"Who Was Ruth Bader Ginsburg?","Patricia Brennan Demuth",5.99,156,"Juvenile Nonfiction","Dec",2019,0,0
"Exhalation","Ted Chiang",16.95,157,"Fiction","Jun",2020,0.211737576062973,0.440511353725639
"Where the Crawdads Sing","Delia Owens",26,159,"Fiction","Aug",2018,0.284642419869693,0.513586405177314
"Drive Your Plow Over the Bones of the Dead","Olga Tokarczuk",17,160,"Fiction","Aug",2020,0.118243677618678,0.453494001369001
"Group","Christie Tate",27,163,"Family & Relationships","Oct",2020,0.211414507664508,0.456757860507861
"Ada Twist, Scientist","Andrea Beaty",18.99,165,"Juvenile Fiction","Sep",2016,0.183333333333333,0.411666666666667
"Emergent Strategy","adrienne maree brown",16,166,"Political Science","Apr",2017,0.117042631281762,0.351415396198005
"A Tale of Witchcraft...","Chris Colfer",18.99,167,"Juvenile Fiction","Sep",2020,0,0
"To Be a Man","Nicole Krauss",26.99,168,"Literary Collections","Nov",2020,0.200919124278499,0.486116409632035
"Ninth House","Leigh Bardugo",17.99,169,"Fiction","Oct",2020,0.291295709498834,0.463828246406371
"On Earth We're Briefly Gorgeous","Ocean Vuong",26,170,"Fiction","Jun",2019,0.256610540409883,0.560527740412609
"The Arrest","Jonathan Lethem",27.99,174,"Fiction","Nov",2020,0.28742180438609,0.551208910137482
"The Shadow King","Maaza Mengiste",17.95,180,"Fiction","Sep",2020,0,0
"Skunk and Badger (Skunk and Badger 1)","Amy Timberlake",18.95,181,"Juvenile Fiction","Sep",2020,0.226971984364842,0.490073292316149
"Very Hungry Caterpillar Board","Eric Carle",10.99,183,"Juvenile Fiction","Mar",1994,0,0
"Spy School Revolution","Stuart Gibbs",17.99,184,"Juvenile Fiction","Oct",2020,0,0
"Wow, No Thank You.","Samantha Irby",15.95,185,"Biography & Autobiography","Mar",2020,0.190639970195671,0.508517926056115
"Sapiens","Yuval Noah Harari",25.99,186,"History","Oct",2020,0.229721827651515,0.486754223785474
"World of Wonders","Aimee Nezhukumatathil",25,188,"Biography & Autobiography","Sep",2020,0.275432949332802,0.524583160292866
"Kindred","Octavia E Butler",16,189,"Fiction","Feb",2004,0.00375298011167576,0.53616130246565
"Lovecraft Country","Matt Ruff",16.99,191,"Fiction","Feb",2017,0.22945392015392,0.602997017797018
"Monogamy","Sue Miller",28.99,192,"Fiction","Sep",2020,0.151852791652792,0.524216061716062
"Witches of Brooklyn","Sophie Escabasse",11.69,193,"Juvenile Fiction","Sep",2020,0.166287878787879,0.505681818181818
"The Selected Works of Audre Lorde","Audre Lorde",16.95,194,"Literary Criticism","Sep",2020,0,0
"White Ivy","Susie Yang",26,195,"Fiction","Nov",2020,0.139611290629809,0.476449394227172
"The Secret Lives of Church Ladies","Deesha Philyaw",18.99,196,"Fiction","Oct",2020,0.11512588995027,0.437180914815212
"Begin Again","Eddie S Glaude",27,197,"History","Jun",2020,0.10279341029341,0.399196729196729
"Trick Mirror","Jia Tolentino",18,198,"Social Science","Jul",2020,0.151323037632561,0.488182276277514
"Entangled Life","Merlin Sheldrake",28,199,"Biography & Autobiography","May",2020,0.289390519781145,0.594388678451178
"March","John Lewis",14.95,200,"Biography & Autobiography","Aug",2013,0.21057272846529,0.43663962529665
"A is for Activist","Innosanto Nagara",11.95,202,"Juvenile Nonfiction","Nov",2013,0.153804563492063,0.370202191987906
"Nothing to See Here","Kevin Wilson",16.99,204,"Fiction","Sep",2020,0.254218578643579,0.706697835497835
"Rise of the Earth Dragon","Tracey West",5.99,205,"Juvenile Fiction","Aug",2014,0.255361652236652,0.463259078884079
"Julian at the Wedding","Jessica Love",16.99,206,"Juvenile Fiction","Oct",2020,0.173083583083583,0.365590243090243
"The Best American Science Fiction and Fantasy 2020","John Joseph Adams",16.99,207,"Fiction","Nov",2020,0.439166666666667,0.344166666666667
"Dog Man","Dav Pilkey",12.99,208,"Juvenile Fiction","Dec",2019,0.188035714285714,0.728928571428571
"Deacon King Kong","James McBride",28,210,"Fiction","Mar",2020,0.207547699214366,0.516969696969697
"The Kingdom","Jo Nesbo",28.95,213,"Fiction","Nov",2020,-0.0788668503213958,0.523532336350518
"Hood Feminism","Mikki Kendall",26,214,"Political Science","Feb",2020,0.036790293040293,0.393868538868539
"Red, White & Royal Blue","Casey McQuiston",16.99,216,"Fiction","May",2019,0.329999311591219,0.401516968607352
"Ex Libris","Michiko Kakutani",25,217,"Literary Collections","Oct",2020,0.0983164983164983,0.134511784511785
"The Underground Railroad","Colson Whitehead",16.95,219,"Fiction","Jan",2018,0.176834776334776,0.504715127465127
"City of Girls","Elizabeth Gilbert",17,221,"Fiction","Apr",2020,0,0
"The Lightning Thief","Rick Riordan",7.99,222,"Juvenile Fiction","Apr",2006,0,0
"Chicka Chicka Boom Boom","Bill Martin",7.99,227,"Juvenile Fiction","Aug",2012,0,0
"Julian Is a Mermaid","Jessica Love",16.99,228,"Juvenile Fiction","Apr",2018,0.23600477994228,0.526308467326325
"My Year of Rest and Relaxation","Ottessa Moshfegh",16,229,"Fiction","Jun",2019,0.113831107801972,0.509231601731602
"Midnight Sun","Stephenie Meyer",27.99,230,"Young Adult Fiction","Aug",2020,0.125619429590018,0.358159536541889
"Grumpy Monkey","Suzanne Lang",8.99,231,"Juvenile Fiction","Oct",2019,0.248055555555556,0.337222222222222
"Just Mercy","Bryan Stevenson",17,232,"Biography & Autobiography","Aug",2015,0.048162842283378,0.506733173572459
"The Four Agreements","don Miguel Ruiz",12.95,234,"Self-Help","Nov",1997,0.21035101010101,0.462059523809524
"Magic Treehouse # 1","Mary Pope Osborne",5.99,235,"Juvenile Fiction","Jul",1992,0,0
"Too Much and Never Enough","Mary L Trump",28,236,"Biography & Autobiography","Jul",2020,0.260333854741749,0.535827199116673
"The One and Only Ivan","Katherine Applegate",8.99,237,"Juvenile Fiction","Jan",2015,0.171335200746965,0.38624649859944
"To Sleep in a Sea of Stars","Christopher Paolini",29.99,239,"Fiction","Sep",2020,0.243549320474786,0.449271612905153
"The Penguin Book of Christmas Stories","Jessica Harrison",25,241,"Fiction","Nov",2020,0,0
"The Best American Science and Nature Writing 2020","Michio Kaku",16.99,242,"Nature","Nov",2020,0,0
"All We Can Save","Ayana Elizabeth Johnson",29,243,"Social Science","Sep",2020,0,0
"If You Come to Earth","Sophie Blackall",18.99,245,"Juvenile Fiction","Sep",2020,0.205486336580087,0.582583498677249
"The Best American Travel Writing 2020","Jason Wilson",16.99,246,"Literary Collections","Nov",2020,0.211640211640212,0.412169312169312
"A Burning","Megha Majumdar",25.95,247,"Fiction","Jun",2020,0.234829034301437,0.585036068128601
"Every Night Is Pizza Night","J Kenji Lopez-Alt",17.95,249,"Cooking","Sep",2020,-0.0271306818181818,0.366145833333333
"The Alchemist","Paulo Coelho",16.99,250,"Body, Mind & Spirit","Apr",2014,0.334452479338843,0.646091597796143
"Goodnight Moon","Margaret Wise Brown",8.99,251,"Juvenile Fiction","Nov",1995,0,0
"The Witch Elm","Tana French",18,252,"Fiction","Jul",2019,0.108533356150619,0.437616176269464
"How to Do Nothing","Jenny Odell",26.99,253,"Art","Apr",2019,0.0954891122105408,0.43877091321377
"Dog Man Unleashed","Dav Pilkey",9.99,254,"Juvenile Fiction","Dec",2016,0.189166666666667,0.731666666666667
"Dragons Love Tacos","Adam Rubin",18.99,255,"Juvenile Fiction","Jun",2012,0.179945286195286,0.315126262626263
"Dragons and Marshmallows","Asia Citro",5.99,256,"Juvenile Fiction","Mar",2017,0.404112554112554,0.599819624819625
"The Snowy Day","Ezra Jack Keats",7.99,257,"Juvenile Fiction","Oct",1976,0.105952380952381,0.179166666666667
"Miss Benson's Beetle","Rachel Joyce",18,259,"Fiction","Nov",2020,0.139659594554075,0.535417744232679
"All Because You Matter","Tami Charles",17.99,260,"Juvenile Fiction","Oct",2020,0.121579696579697,0.264095914095914
"The Night Before Christmas","Clement C Moore",18.99,262,"Juvenile Fiction","Sep",2020,0.143524531024531,0.336814574314574
"Homeland Elegies","Ayad Akhtar",28,263,"Fiction","Sep",2020,0.110702309985097,0.293302196437442
"Last Stop on Market Street","Matt de la Pena",18.99,264,"Juvenile Fiction","Jan",2015,0.171931484715098,0.3796386584937
"Big Friendship","Aminatou Sow",26,265,"Social Science","Jul",2020,0.161638482901578,0.404685095856524
"Little Fires Everywhere","Celeste Ng",17,268,"Fiction","May",2019,0.181813638103519,0.537458478734669
"The Testaments","Margaret Atwood",16.95,269,"Fiction","Sep",2020,0.112467532467532,0.572748917748918
"The Dutch House","Ann Patchett",27.99,270,"Fiction","Sep",2019,0.18921793694521,0.411734553325462
"Dear Justyce","Nic Stone",18.99,271,"Young Adult Fiction","Sep",2020,0.0593734217171717,0.55526672979798
"The Book of Longings","Sue Monk Kidd",28,273,"Fiction","Apr",2020,0.205889378478664,0.461061482168625
"Jacques Pepin Quick & Simple","Jacques Pepin",35,275,"Cooking","Oct",2020,0.0993371212121212,0.329734848484848
"Notorious RBG","Irin Carmon",25.99,277,"Social Science","Oct",2015,0.163218694885362,0.442627865961199
"Legendborn","Tracy Deonn",18.99,278,"Young Adult Fiction","Sep",2020,0.12225237946339,0.472503826799869
"Just Us","Claudia Rankine",30,279,"Social Science","Sep",2020,0.0559849987974988,0.4019950998076
"Are Prisons Obsolete?","Angela Y Davis",15.95,280,"Political Science","Aug",2003,0.0701803751803752,0.297453102453102
"Enola Holmes","Nancy Springer",7.99,283,"Juvenile Fiction","Aug",2020,0.215,0.459
"Trust Exercise","Susan Choi",15.99,284,"Fiction","May",2020,0.24283433150311,0.527724065872683
"Writers & Lovers","Lily King",27,285,"Fiction","Mar",2020,0,0
"The Death of Vivek Oji","Akwaeke Emezi",27,286,"Fiction","Aug",2020,0.232587018837019,0.542922077922078
"Good Night Stories for Rebel Girls","Elena Favilli",35,288,"Juvenile Nonfiction","Nov",2016,0.250681818181818,0.455234487734488
"My Sister, the Serial Killer","Oyinkan Braithwaite",14.95,289,"Fiction","Jul",2019,0.0668830567580568,0.435994227994228
"All the Light We Cannot See","Anthony Doerr",18,290,"Fiction","Apr",2017,0,0
"The Soul of an Octopus","Sy Montgomery",16.99,291,"Science","Apr",2016,0.294314862055933,0.568918500481
"Joey","Jill Biden",19.99,292,"Juvenile Nonfiction","Jun",2020,0,0
"Good Night Stories for Rebel Girls","Elena Favilli",35,297,"Juvenile Nonfiction","Oct",2020,0.250681818181818,0.455234487734488
"Underland","Robert MacFarlane",17.95,299,"Science","Aug",2020,0,0
"The Princess in Black and the Giant Problem","Shannon Hale",14.99,300,"Juvenile Fiction","Oct",2020,0,0
"Look Both Ways","Jason Reynolds",8.99,302,"Juvenile Fiction","Oct",2020,0,0
"The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal)","Kelly Barnhill",9.95,303,"Juvenile Fiction","Apr",2019,0.250486649561231,0.568393801537821
"Ten Ways to Hear Snow","Cathy Camper",17.99,304,"Juvenile Fiction","Oct",2020,0,0
"The Best American Food Writing 2020","J Kenji Lopez-Alt",16.99,305,"Cooking","Nov",2020,0,0
"I Am Enough","Grace Byers",18.99,306,"Juvenile Fiction","Mar",2018,0.223333333333333,0.435714285714286
"Year of the Monkey","Patti Smith",16,307,"Literary Criticism","Sep",2020,0.198340720253023,0.477882848694876
"My Brilliant Friend","Elena Ferrante",17,308,"Fiction","Oct",2012,0.162650841461082,0.477192786296702
"Christmas Parade","Sandra Boynton",7.99,309,"Juvenile Fiction","Sep",2020,0,0
"Think Like a Monk","Jay Shetty",27,310,"Religion","Sep",2020,0.185610068943402,0.316025332691999
"The Mitten","Jan Brett",8.99,311,"Juvenile Fiction","Oct",1996,0.461111111111111,0.55
"The Wild Iris","Louise Gluck",16.99,312,"Poetry","Nov",1993,0.0884042346542347,0.429118104118104
"Sister Outsider","Audre Lorde",16.99,314,"Social Science","Aug",2007,-0.0925925925925926,0.240740740740741
"Bunheads","Misty Copeland",17.99,316,"Juvenile Fiction","Sep",2020,0.213152958152958,0.404742664742665
"Where the Wild Things Are","Maurice Sendak",8.95,317,"Juvenile Fiction","Aug",1989,0.316319444444444,0.694742063492063
"Little Owl's Snow","Divya Srinivasan",7.99,319,"Juvenile Fiction","Oct",2020,0,0
"Pachinko","Min Jin Lee",16.99,320,"Fiction","Nov",2017,0.15510147237876,0.341875899945723
"We Are Water Protectors","Carole Lindstrom",17.99,321,"Juvenile Fiction","Mar",2020,0.212373737373737,0.478977272727273
"Children of Blood and Bone","Tomi Adeyemi",18.99,322,"Young Adult Fiction","Mar",2018,0.293915140745498,0.548898628928391
"People Who Love to Eat Are Always the Best People","Julia Child",18.95,323,"Reference","Nov",2020,0.50125,0.577916666666667
"What Are You Going Through","Sigrid Nunez",26,327,"Fiction","Sep",2020,0.150603185908741,0.606074876035193
"The Dragonet Prophecy (Wings of Fire #1)","Tui T Sutherland",7.99,330,"Juvenile Fiction","Apr",2013,0.0711088154269972,0.401549586776859
"I Promise","LeBron James",19.99,331,"Juvenile Fiction","Aug",2020,0.43287037037037,0.525231481481481
"Severance","Ling Ma",17,332,"Fiction","May",2019,0.165945188275772,0.517260478448011
"Antiracist Baby Picture Book","Ibram X Kendi",8.99,333,"Juvenile Fiction","Jul",2020,0,0
"Daisy Jones & The Six","Taylor Jenkins Reid",17,334,"Fiction","Feb",2020,0.185617825157299,0.434987293408346
"The Hate U Give","Angie Thomas",18.99,337,"Young Adult Fiction","Feb",2017,0.206095418470418,0.576306487493987
"Little Blue Truck board book","Alice Schertle",8.99,338,"Juvenile Fiction","Jul",2020,0.0642857142857143,0.678571428571429
"Know My Name","Chanel Miller",18,339,"Social Science","Aug",2020,0.241004963396675,0.486991979351605
"The Princess in Black and the Bathtime Battle","Shannon Hale",6.99,340,"Juvenile Fiction","Sep",2020,0,0
"Poems 1962-2012","Louise Gluck",22,341,"Poetry","Nov",2013,0.118395704824276,0.338563278101969
"Inside Story","Martin Amis",28.95,342,"Fiction","Oct",2020,0.280028634559885,0.477555765993266
"How to Fly (In Ten Thousand Easy Lessons)","Barbara Kingsolver",24.99,343,"Poetry","Sep",2020,0.392777777777778,0.495555555555556
"Hair Love","Matthew A Cherry",17.99,345,"Juvenile Fiction","May",2019,0.14032196969697,0.291022727272727
"Having and Being Had","Eula Biss",26,346,"Political Science","Sep",2020,0.123223581973582,0.50663634976135
"The Undocumented Americans","Karla Cornejo Villavicencio",26,347,"History","Mar",2020,0.162352462352462,0.393815628815629
"Fortress of the Stone Dragon","Tracey West",5.99,348,"Juvenile Fiction","Oct",2020,0.226070858965596,0.391309713678135
"White Tears/Brown Scars","Ruby Hamad",16.95,349,"Social Science","Oct",2020,0.0760144485144485,0.240340845297742
"Lead from the Outside","Stacey Abrams",17,352,"Social Science","Mar",2019,0.0705936147186147,0.263565355940356
"Just Like You","Nick Hornby",27,353,"Fiction","Sep",2020,0.282543498168498,0.452164987789988
"Assata","Assata Shakur",18.95,355,"Social Science","Nov",1999,0,0
"Americanah","Chimamanda Ngozi Adichie",16,356,"Fiction","Mar",2014,0.272479757896425,0.5426974774197
"The Book of Delights","Ross Gay",23.95,358,"Biography & Autobiography","Feb",2019,0.267906994743729,0.528861654083957
