"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"The Marvellous Equations of the Dread","Marcia Douglas",16.95,65211,"Fiction","Jul",2018,0.12752076318743,0.481517917267917
"Sympathy","Olivia Sudjic",14.99,65299,"Fiction","Apr",2018,0.152533011446026,0.456177344230645
"Trajectory","Richard Russo",16,65307,"Fiction","Apr",2018,0.283901181123403,0.531753781198226
"Gertie's Leap to Greatness","Kate Beasley",7.99,65309,"Juvenile Fiction","Apr",2018,0.166362848169571,0.307554031713696
"El Chupacabras","Adam Rubin",16.99,65325,"Juvenile Fiction","Mar",2018,0.0604646464646465,0.260114959114959
"Norse Myths","Kevin Crossley-Holland",27.99,65471,"Young Adult Fiction","Sep",2017,0.104613756613757,0.571272486772487
"Black Panther Vol. 1","Ta-Nehisi Coates",34.99,65512,"Comics & Graphic Novels","Aug",2017,0,0
"Acid Trip","Michael Harlan Turkell",29.99,65517,"Cooking","Aug",2017,0.1070793500481,0.298261634199134
"None of the Above","I W Gregorio",10.99,65616,"Young Adult Fiction","Apr",2017,0.157435064935065,0.508618326118326
"Marcel","Eda Akaltun",16.95,65741,"Juvenile Fiction","Sep",2016,0,0
"My Dad Used to Be So Cool","Keith Negley",17.95,65798,"Juvenile Fiction","Jul",2016,0.271414475442253,0.517631339853562
"City Shapes","Diana Murray",18.99,65809,"Juvenile Fiction","Jun",2016,0,0
"Dear Mr. You","Mary -Louise Parker",16,65812,"Family & Relationships","Jun",2016,0.24989537571482,0.587938752605419
"Swimming Studies","Leanne Shapton",18,65821,"Sports & Recreation","May",2016,0.219774305555556,0.533308283730159
"The Hueys in None The Number","Oliver Jeffers",6.99,66023,"Juvenile Fiction","May",2015,0.143406593406593,0.313003663003663
"The Sick Rose","Richard Barnett",35,66198,"Medical","May",2014,0,0
"Memento Mori","Muriel Spark",15.95,66199,"Fiction","May",2014,0.171729797979798,0.286578282828283
"The Miss Nelson Collection","Harry G Allard",18.99,66205,"Juvenile Fiction","May",2014,0,0
"The Declaration of Independence and the United States Constitution","Richard Beeman",12,66423,"History","Aug",2012,0,0
"They Came to Baghdad","Agatha Christie",14.99,66546,"Fiction","Jun",2011,0.25094696969697,0.333712121212121
"The Ticking Is the Bomb","Nick Flynn",16.95,66591,"Biography & Autobiography","Dec",2010,0.228483495670996,0.515976731601732
"The Young Girl's Handbook of Good Manners for Use in Educational Establishments","Geoffrey Longnecker",12.95,66651,"Fiction","Feb",2010,0,0
"The Penguin Book of Gaslight Crime","Michael Sims",15,66726,"Fiction","Mar",2009,0.25,0.75
"Jeremy Fink and the Meaning of Life","Wendy Mass",8.99,66792,"Juvenile Fiction","Feb",2008,0,0
"Instant Love","Jami Attenberg",14,66831,"Fiction","Apr",2007,0.126107407407407,0.475466666666667
"Zazie in the Metro","Raymond Queneau",15,67054,"Fiction","Nov",2001,0,0
"The Living Thoughts of Kierkegaard","W H Auden",17.95,67087,"Religion","Aug",2000,0,0
"Richard Scarry's Lowly Worm Meets the Early Bird","Richard Scarry",4.99,67120,"Juvenile Fiction","Mar",1999,0,0
"Richard Scarry's The Worst Helper Ever!","Richard Scarry",4.99,67135,"Juvenile Fiction","Jul",1998,0,0
"?La senorita Nelson ha desaparecido!","Harry G Allard",7.99,67140,"Juvenile Fiction","Mar",1998,0,0
"The Risk Pool","Richard Russo",16,67214,"Fiction","Apr",1994,0.295959595959596,0.61949494949495
"Dinosaurs Divorce","Marc Brown",8.99,67278,"Juvenile Nonfiction","Sep",1988,0,0
"The Mighty Miss Malone","Christopher Paul Curtis",7.99,67430,"Juvenile Fiction","Mar",2013,0.379383116883117,0.41461038961039
"Little Red","Bethan Woollvin",8.99,67438,"Juvenile Fiction","Sep",2020,0.105654761904762,0.223214285714286
"All We Saw","Anne Michaels",17,67439,"Poetry","Sep",2020,0.0833333333333333,0.216666666666667
